Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Automation of the Smart Contract Development Using Situation Models,"Galieva, A.G.; Palchunov, D.E.",The analysis of existing research in the field of business processes automation is carried out. Modern business process automation methods involve the direct developers participation. Our proposed approach will allow domain experts to develop and manage smart contracts for business processes without the help of programmers. The methods of automating the smart contracts creation using semantic modeling are described. Methods of automation of complex processes with hierarchical nesting are proposed. A methodological approach to automating the smart contracts development using situation models is described. The operation scheme of the software system for the business processes formalization by constructing situation models is presented. The use of predicates ontological homomorphism to create smart contract templates is described. Methods of generating smart contracts in the sDSL language based on the described partial models are proposed. Examples of translating the business processes representation using situation models into smart contracts in the sDSL language are given. The interaction of several smart contracts using situation models with each other is described. © 2022 IEEE.,2022,,"Int. Conf. Young Spl. Micro/Nanotechnol. Electron Devices, EDM",2022-June,,698-703,,10.1109/EDM55285.2022.9855159,,#1675,Galieva 2022,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
Towards CBDC-supported Smart Contracts for Industrial Stakeholders,"Franko, A.; Olah, B.; Sass, Z.; Hegedus, C.; Varga, P.","The stakeholders of complex industrial-financial ecosystems and supply chains are interconnected in many ways, at many organisational and technical levels. Even in order to deliver a product or exchange various materials, various Information and Operational Technology solutions are required, etching the way towards the Industrial Internet of Things. Moreover, integrating the necessary legal and financial co-operations in the big picture is similarly important, where blockchains and Smart Contracts aim to provide the means. Nevertheless, new solutions should thrive not to disrupt current economic landscapes, but slowly transform and enhance instead. This article discusses solutions for supply chain trade use cases with over-the-counter derivatives, and argues the same in a world where Central Bank Digital Currency (CBDC) governs financial markets. It also provisions Arrowhead framework and Smart Contract based solutions for the issues there, such as matching bids, handling counterparty risks or physical settlements. © 2022 IEEE.",2022,,"Proc. - IEEE Int. Conf. Ind. Cyber-Phys. Syst., ICPS",,,,,10.1109/ICPS51978.2022.9816857,,#1683,Franko 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
SmartCon: A Blockchain-Based Framework for Smart Contracts and Transaction Management,"Muneeb, M.; Raza, Z.; Haq, I.U.; Shafiq, O.","A smart contract can be used for automating business processes triggered by specific events caused by IoT sensors, data feeds, or other applications. A blockchain-based smart contract management system is an innovative technology foreseen to automate future business-to-business (B2B) processes. By optimizing business workflow operations, especially in multi-party arrangements, blockchain can play central role in business process re-engineering. In this paper we present a multi-organizational smart contract management system in which a user can create, deploy, and execute smart contracts. This research article consists of two parts; in the first part, we have compared existing smart contract management systems based on different characteristics that can play a vital role in selecting a particular system for a specific business need. In the second part, we have proposed a framework for a blockchain-based smart contract management system. It is a unified architecture that supports both DAO and organizational level blockchain-based smart contract execution. There are two types of separate blockchains used in the proposed framework; SBlockchain and TBlockchain. SBlockchain is used to store smart contracts, whereas all the data generated by the smart contracts stores inside the TBlockchain. In addition, each smart contract has some terms and clauses which are necessary for some event execution. Various components of the framework and their implementation have been described in detail with the help of relevant use-cases. © 2022 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.",2022,,IEEE Access,10,,10719-10730,,10.1109/ACCESS.2021.3135562,,#1718,Muneeb 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
An Advanced Smart Contract Conversion and Its Design and Implementation for Auction Contract ,"Zhu, Y.; Qin, B.-H.; Chen, E.; Liu, G.-W.","As second-generation blockchain technology, smart contracts have greatly enriched the functional expression of blockchain to make application development more convenient. Smart contracts are a set of digitally executable protocols which concern business, finance, contract law, and information technology. In recent years, advanced smart contract languages (ASCLs) have been proposed to solve the problem of difficult reading, comprehension, and collaboration when writing a smart contract among people in different fields. However, this kind of languages are still hard to put into practice due to the lack of an effective conversion method from the ASCLs to executable smart contract programs. Aiming at this problem, we propose a three-layer smart contract framework, including advanced smart-contract layer, basic smart-contract layer, and executable machine-code layer. After comparing and analyzing the pros and cons of several ASCLs, we take SPESC as an example to explore how to design conversion rules from its contract to target language contract in Solidity. We specify the conversion rules from two aspects. One is program architecture of the target language, which consists of main-contract and party-contracts. The corresponding rules provide an approach to convert the definition of SPESC-based contracting parties into party sub-contracts on target language, as well as to produce the rest of SPESC contract into main sub-contract on target language. The other is the approach to specify not only program architecture and storage structure on basic smart-contract layer, but also important mechanisms, including personnel management, timing control, anomaly detection, etc. These mechanisms can assist programmers to semi-automatically write smart contract programs. Moreover, by introducing the notation of group, the SPESC-based smart contract can support the operation of dynamically adding participants into the contract. We also verify the legibility of SPESC and the correctness of the conversion processes through two case studies. First, we invite some students from department of computer science and department of law. They, divided into four groups, are asked to read voting and auction contracts in SPESC and Solidity, and answer questions designed for the contracts. The result shows that the speed of reading SPESC is about twice as fast as that of reading Solidity, and the accuracy of reading SPESC is higher. Then, taking the auction contract as an instance, we analyze the process of bidding contracts and compile them into contracts in SPESC, and then provide the whole process of converting from a SPESC-based contract to an executable contract program in Solidity according to the above conversion rules, and verify the correctness of the conversion process, including coding, deploying, running, and testing, through Ethereum private chain. The instance results show that the conversion rules and the three-layer framework can simplify the writing of smart contracts, standardize the program structure, and help programmers to verify the correctness of the contract program. In our future work, a formal representation shall be established on the existing SPESC language model. Through formal methods, we can further provide formal analysis tools to verify pre-and-post conditions of contract terms, as well as time sequence between terms. Secondly, in view of the correctness of the generated Solidity target code, we can continue to improve the generated target code based on existing researches on analysis or detection vulnerabilities, optimize the program structure and specifications, and enhance the security of the contract. © 2021, Science Press. All right reserved.",2021,,Jisuanji Xuebao,44,3,652-668,,10.11897/SP.J.1016.2021.00652,,#1788,Zhu 2021,Exclusion reason: Methods/inputs/outputs not provided; ,""
Towards a Framework to compare Blockchain Platforms for Smart Contracts,"Di Lucca, G.A.; Tortorella, M.","Blockchain technology represents an innovation from both a structural and an application point of view. Since its inception, it has undergone a strong and fast development and, thanks to the implementation of smart contracts, it has been applied in different application contexts, such as business, healthcare, manufacturing, IoT applications and much more. The interest around blockchain has brought to the definition of several blockchain platforms facilitating their development and application. Thus, to choose the blockchain platform that is more suitable to support a specific business need is a strategic problem. This paper proposes an evaluation framework, i.e. a set of quality attributes, to characterize and compare the different blockchain platforms helping to identify the most suitable one. © 2021 IEEE.",2021,,"Proc. - Int. Conf. Comput. Sci. Comput. Intell., CSCI",,,1931-1937,,10.1109/CSCI54926.2021.00359,,#1795,DiLucca 2021,Exclusion reason: Articles that focus solely on legal or regulatory aspects of contract management; ,""
Developing NEO Smart Contract for Weather-Based Insurance,"Salem, M.J.; Ndolu, F.H.E.; Hidayatullah, D.E.R.; Sari, R.F.","Weather-based insurance has been developed across emerging economies in many countries. In several Southeast Asia (SEA) countries, weather-based insurance has been released to protect fishermen from the natural events or extreme weather. The value of insurance coverage is obtained from an expensive and lengthy process, especially when facing an extreme weather condition such as sea storm. This adds a heavy toll on fisherman's shoulders when facing the natural conditions. To solve these problems, which is to reduce evaluation costs, blockchain-based smart contracts are used ensure easier asymmetric information. We proposed a blockchain-based smart contract framework that applies to weather-based index insurance. We chose Docker Container and Neo blockchain platform for our experiment due to its easy access tokens from neo-python with a private network. In this experiment we developed a smart contract implementation on Neo. We defined 6 (six) functions that can be triggered if certain conditions are met from an external data application program interface (API). In our experiment of blockchain implementation using Neo, we found that Neo is scalable and trusted and as well having a low memory consumption that could be running in a low specification machine. The deployment of a blockchain based system is feasible to be conducted using Neo platform. © 2021 IEEE.",2021,,"Int. Semin. Res. Inf. Technol. Intell. Syst., ISRITI",,,603-608,,10.1109/ISRITI54043.2021.9702853,,#1802,Salem 2021,Exclusion reason: Methods/inputs/outputs not provided; ,""
Representation of Smart Contracts as State Diagrams,"Vieira, M.L.L.; Vilain, P.","Smart contracts have gained popularity with the emergence of blockchain technology, although the concept behind them has been studied since the 1990s. The automation of contracts signed in real life is an interdisciplinary subject and draws attention not only in the scope of technology but also in areas like business area and legal area. With the aim of providing clear understanding, accuracy and security of information in the process of creating a smart contract, many tools have been developed, either to avoid vulnerabilities or to allow anyone to contribute in writing a contract. In view of this scenario and seeking to further facilitate the general understanding of a smart contract, this paper aims to study the representation of smart contracts as state diagrams. It summarizes, through a systematic mapping, the many ways to visually represent smart contracts as state diagrams, emphasizing their states and transitions. An experiment was also carried out in order to show how state diagrams can facilitate the understanding of a contract. The results show that state diagrams do help understanding smart contracts. © 2021 IEEE.",2021,,"Proc. IEEE/ACS Int. Conf. Comput. Syst. Appl., AICCSA",2021-December,,,,10.1109/AICCSA53542.2021.9686862,,#1808,Vieira 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Blockchain Consensus Protocols: State-of-the-art and Future Directions,"Kaur, M.; Gupta, S.","Being the major disruptive technology in current era, Blockchain is becoming the prime choice for researchers and businesses. Consensus layer acts a backbone of any blockchain application; therefore to increase the performance of a blockchain ecosystem one should need to optimize the underlying consensus method. As almost every consensus method implemented in past poses limitations in terms of low scalability, high resource requirements, low decentralization and public-private tradeoff, there is a need to have an effective consensus protocol. Therefore, we presented a literature review of recent consensus protocols to find their applicability in IoT integration in this paper. We also described some future directions based on the literature being analyzed that would intend to serve as an effective guideline for to perform research in order to improve performance of a blockchain system. © 2021 IEEE.",2021,,"Proc. Int. Conf. Technol. Adv. Innov., ICTAI",,,446-453,,10.1109/ICTAI53825.2021.9673260,,#1810,Kaur 2021,"Exclusion reason: Papers that discuss smart contracts in general, without specific focus on contract conversion or data-driven techniques; ",""
∗.chain: Automatic coding of smart contracts and user interfaces for supply chains,"Bistarelli, S.; Faloci, F.; Mori, P.","In this paper we present a framework for automatically coding blockchain based supply chain management systems starting from a Domain Specific Graphical Language (DSGL) interface modeling the typical interactions of the actors of a value chain. For each asset defined in the DSGL, a solidity smart contract is created and for each interaction a specific method is defined. The DSGL allows the specification of the roles of the actors involved in the value chain, and of a set of constraints in order to permit the execution of operations on the assets only to users with specific roles. Besides the smart contracts implementing the supply chain management system, two web based user interfaces are produced by our framework for the management of the supply chain designed through the DSGL: one for the supply chain administrator and the other for the supply chain participant. © 2021 IEEE.",2021,,"Int. Conf. Blockchain Comput. Appl., BCCA",,,164-171,,10.1109/BCCA53669.2021.9656987,,#1814,Bistarelli 2021,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
SmartBuilder: A Block-based Visual Programming Framework for Smart Contract Development,"Merlec, M.M.; Lee, Y.K.; In, H.P.","Recently, smart contracts are increasingly gaining more attention from academia and industries, due to their potential of increasing efficiency in various application domains. However, building syntactically correct smart contracts is very complex and challenging for non-expert programmers. Besides, as smart contracts are still in the early emerging phase, there is a lack of expertise and tools for supporting practitioners to teach or learn smart contract development. In this paper, we introduce SmartBuilder, a block-based visual programming framework for building smart contracts using extended Google Blockly libraries. It allows Hyperledger Fabric smart contract (also known as Chaincode) development learners or non-expert users to build smart contracts using visual blocks without writing a single code. Moreover, it is a useful and efficient educational tool for teaching or learning how to build smart contracts. © 2021 IEEE.",2021,,"Proc. - IEEE Int. Conf. Blockchain, Blockchain",,,90-94,,10.1109/Blockchain53845.2021.00023,,#1816,Merlec 2021,Exclusion reason: Studies that do not present any data-driven techniques for converting contracts or documents to smart contracts; ,""
An off-the-chain execution environment for scalable testing and profiling of smart contracts,"Kim, Y.; Jeong, S.; Jezek, K.; Burgstaller, B.; Scholz, B.","Smart contracts in Ethereum are executable programs deployed on the blockchain, which require a client for their execution. When a client executes a smart contract, a world state containing contract storage and account details is changed in a consistent fashion. Hence, the execution of smart contracts must be sequential to ensure a deterministic representation of the world state. Due to recent growth, the world state has been bloated, making testing and profiling of Ethereum transactions at scale very difficult. In this work, we introduce a novel off-the-chain execution environment for scalable testing and profiling of smart contracts. We disconnect transactions from the world state by using substates to execute the transactions in isolation and in parallel. Compared to an Ethereum client, our execution environment reduces the space required to replay the transactions of the initial 9M blocks from 700:11GB to 285:39GB. We increased throughput from 620:62 tx=s to 2;817:98 tx=s (single-threaded) and 30;168:76 tx=s (scaled to 44 cores). We demonstrate the scalability of our off-the-chain execution environment for hard-fork testing, metric evaluations of smart contracts, and contract fuzzing. © 2021 USENIX Annual Technical Conference. All rights reserved.",2021,,USENIX Annu. Tech. Conf.,,,349-363,,,,#1842,Kim 2021,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
Smart Contract Code Generation from Platform Specific Model for Hyperledger Go,"Jurgelaitis, M.; Drungilas, V.; Čeponienė, L.; Vaičiukynas, E.; Butkienė, R.; Čeponis, J.","Model Driven Architecture (MDA) together with Unified Modelling Language (UML) presents a framework which transfers the emphasis of development from source code to the higher level of abstraction i.e., models. In this paper, we demonstrate the application of MDA principles for generating smart contract code executed on a blockchain. Even though blockchain smart contracts are not in all cases a classic type of object-oriented software, which UML is intended for, we demonstrate the possibility to adapt to this specific implementation platform. MDA Platform Specific Model (PSM) is used as an input for transformation algorithm which maps PSM metamodel elements to Go Chaincode elements and produces Go chaincode. In PSM, UML class and sequence diagrams are used for specifying structural and behavioural aspects of the smart contract. MOFM2T transformation language and Acceleo tool are employed for the implementation of this algorithm. The results of the algorithm execution were demonstrated using example chaincode for machine learning model validation. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2021,,Adv. Intell. Sys. Comput.,1368 AISC,,63-73,,10.1007/978-3-030-72654-6_7,,#1844,Jurgelaitis 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
A tool for proving Michelson Smart Contracts in WHY3,"Arrojado Da Horta, L.P.; Santos Reis, J.; De Sousa, S.M.; Pereira, M.","This paper introduces a deductive verification tool for smart contracts written in Michelson, which is the low-level language of the Tezos blockchain. Our tool accepts a formally specified Michelson contract and automatically translates it to an equivalent program written in WhyML, the programming and specification language of the Why3 framework. Smart contract instructions are mapped into a corresponding WhyML shallow-embedding of the their axiomatic semantics, which we also developed in the context of this work. One major advantage of this approach is that it allows an out-of-the-box integration with the Why3 framework, namely its VCGen and the backend support for several automated theorem provers. We also discuss the use of our tool to automatically prove the correctness of diverse annotated smart contracts. © 2020 IEEE.",2020,,"Proc. - IEEE Int. Conf. Blockchain, Blockchain",,,409-414,,10.1109/Blockchain50366.2020.00059,,#1864,ArrojadoDaHorta 2020,Exclusion reason: Studies that do not present any data-driven techniques for converting contracts or documents to smart contracts; ,""
LATTE: Visual Construction of Smart Contracts,"Tan, S.; S Bhowmick, S.; Chua, H.E.; Xiao, X.","Smart contracts enable developers to run instructions on blockchains (eg. Ethereum) and have broad range of real-world applications. Solidity is the most popular high-level smart contract programming language on Ethereum. Coding in such language, however, demands a user to be proficient in contract programming and debugging to construct smart contracts correctly. In practice, such expectation makes it harder for non-programmers to take advantage of smart contracts. In this demonstration, we present a novel visual smart contract construction system on Ethereum called latte to make smart contract development accessible to non-programmers. Specifically, it allows a user to construct a contract without writing Solidity code by manipulating visual objects in a direct manipulation-based interface. Furthermore, latte interactively guides users and makes them aware of the cost (in units of Gas) of visual actions undertaken by them during contract construction. © 2020 Association for Computing Machinery.",2020,,Proc. ACM SIGMOD Int. Conf. Manage. Data,,,2713-2716,,10.1145/3318464.3384687,,#1876,Tan 2020,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Towards developing trusted smart contracts in simulink,"Meng, B.; Li, M.; Beckmann, B.; Nishida, Y.; Carbone, J.; Yang, D.; Durling, M.","Blockchain has emerged as a subject of intense interest in research fields and beyond. One of key enabling technologies is smart contracts. Smart contracts bring transparency, simplicity, and efficiency to blockchain applications. Several languages and tools have been developed for smart contracts over the years but few are easily usable for domain experts in control systems as most of them are Simulink users and learning a new language and tool could be a challenge for them. In this paper, we propose a trusted smart contract development approach in Simulink Stateflow for blockchain applications. The approach introduces a design environment and generates evidences of trust for smart contracts via formal verification, simulation, automated test generation, and test execution. Finally, the formally verified Stateflow models is automatically synthesized into Solidity for deployment on blockchain platforms. This approach will not only bring the assurance of smart contracts to the next level, but also will make the blockchain technology accessible to the control experts, which could inspire broader blockchain applications in industry. We implemented the framework as a toolbox in Simulink, which has been used by GE Research. We will demonstrate the capabilities and effectiveness of the toolbox using a real transactive energy example to show that valid issues are identified along the development cycle. Copyright © 2020 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",2020,,CEUR Workshop Proc.,2749,,35-46,,,,#1893,Meng 2020,Exclusion reason: Framework Not Provided; ,""
Logical methods for smart contract development,"Galieva, A.G.; Palchunov, D.E.","This article contains a description of the present state of business processes formalization developments. Currently existing formalized contracts automation methods have different functional limitations in application. The methodical approach to creating the tool for constructing formalized automated contracts containing a complex of hierarchically connected multilevel contracts is developed. Requirements to the tool for constructing formalized automated contracts (FACT) are defined, its structural components and mechanisms of interaction between them are described, the areas of application of the FACT and its prospects are defined. © 2019 IEEE.",2019,,"SIBIRCON - Int. Multi-Conf. Eng., Comput. Inf. Sci., Proc.",,,881-885,,10.1109/SIBIRCON48586.2019.8958340,,#1910,Galieva 2019,Exclusion reason: Framework Not Provided; ,""
Modelling principles for blockchain-based implementation of business or scientific processes,"Jurgelaitis, M.; Butkienė, R.; Vaičiukynas, E.; Drungilas, V.; Čeponienė, L.","Blockchain technology and smart contract development currently lacks clarity in its implementation. The complicated architecture of blockchain is an obstacle that developers face during design and implementation of blockchain-based systems. In this paper we propose a method based on Model Driven Architecture, which could be used for defining and specifying blockchain structure and behavior. Such approach could be used as one of the ways for describing blockchain-based systems in a more general language in order to facilitate blockchain development process. © 2019 for this paper by its authors.",2019,,CEUR Workshop Proc.,2470,,43-47,,,,#1928,Jurgelaitis 2019,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Enriching Smart Contracts with Temporal Aspects,"Fournier, F.; Skarbovsky, I.","Blockchain technology provides a platform for the decentralized execution of smart contracts. A smart contract is an agreement that is automatically executed when certain conditions are met. Current smart contracts use business rules to express conditions in which transactions occur but lack the capability to reason over time. We present a model-driven approach for creating blockchain applications that can run temporal logic. We present the new concepts required at the model level and explain how these concepts can be translated to a blockchain solution applying Hyperledger Fabric, Hyperledger Composer, and PROTON complex event processing. We illustrate the approach using a pharma cold chain scenario. Cold chain scenarios are typical examples of blockchain cases in which temporal reasoning is required. Here, the blockchain provides transparency, a non-repudiation process, full traceability and trackability of the transactions (provenance), shorter lead times, and authentication and verification of the parties in the supply chain network at each asset transfer. The temporal reasoning is required since decisions about pharmaceutical quality is based on time windows in which the goods have been exposed to certain conditions. Our solution includes the model, the blockchain backend, and a mobile user interface that allows each certified and authorized party in the network to initiate actions, finish their transactions, and track progress. It also includes temperature monitoring to ensure compliance with the proper conditions for transportation and asset transfer. © 2019, Springer Nature Switzerland AG.",2019,,Lect. Notes Comput. Sci.,11521 LNCS,,126-141,,10.1007/978-3-030-23404-1_9,,#1930,Fournier 2019,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Formal requirement enforcement on smart contracts based on linear dynamic logic,"Sato, N.; Tateishi, T.; Amano, S.","Recently, despite the growing popularity of smart contracts, one serious concern is arising among both industry and academia, that is, whether they work autonomously without human intervention really as intended and, when we are not sure, how we can ensure that contracts meet particular requirements. To resolve this, we propose a new formal approach to smart contract development: Instead of defining contracts just as programs in conventional languages, they should be defined using formal logic so that we can verify whether they meet particular requirements and enforce them if necessary. The primary challenge is that expressive formal logic often turns out to be undecidable and consequently executable programs cannot be generated. As a solution, each contract definition is divided into two layers, namely specification layer in a decidable logic called Linear Dynamic Logic for verification and enforcement of requirements and rule layer for defining implementation details, while the consistency between the two layers is systematically guaranteed. Based on this, it also becomes possible to automatically generate executable contract programs from their formal specification, which leads to improving the trustworthiness of contracts. Evaluation on Hyperledger Fabric shows the feasibility and high effectiveness of our approach. © 2018 IEEE.",2018,,"Proc. - IEEE Int. Congr. Cybermatics: IEEE Conf. Internet Things, Green Comput. Commun., Cyber, Phys. Soc. Comput., Smart Data, Blockchain, Comput. Inf. Technol., iThings/GreenCom/CPSCom/SmartData/Blockchain/CIT",,,945-954,,10.1109/Cybermatics_2018.2018.00181,,#1933,Sato 2018,Exclusion reason: Methods/inputs/outputs not provided; ,""
SPESC: A Specification Language for Smart Contracts,"He, X.; Qin, B.; Zhu, Y.; Chen, X.; Liu, Y.","The smart contract is an interdisciplinary concept that concerns business, finance, contract law and information technology. Designing and developing a smart contract may require the close cooperation of many experts coming from different fields. How to support such collaborative development is a challenging problem in blockchain-oriented software engineering. This paper proposes SPESC, a specification language for smart contracts, which can define the specification of a smart contract for the purpose of collaborative design. SPESC can specify a smart contract in a similar form to real-world contracts using a natural-language-like grammar, in which the obligations and rights of parties and the transaction rules of cryptocurrencies are clearly defined. The preliminary study results demonstrated that SPESC can be easily learned and understood by both IT and non-IT users and thus has greater potential to facilitate collaborative smart contract development. © 2018 IEEE.",2018,,Proc Int Comput Software Appl Conf,1,,132-137,,10.1109/COMPSAC.2018.00025,,#1934,He 2018,Exclusion reason: Framework Not Provided; ,""
Toward A Service Platform for Developing Smart Contracts on Blockchain in BDD and TDD Styles,"Liao, C.-F.; Cheng, C.-J.; Chen, K.; Lai, C.-H.; Chiu, T.; Wu-Lee, C.","In recent years, Blockchain technology has been highly valued, and the related applications have begun to be developed in large numbers. A smart contract is a software component encompass business logics and transactions that run on a blockchain. Thus, verifying whether the contract logics fully reflect the business requirements are one of the most important software engineering issues in blockchain application development. Currently, developing smart contracts is still a challenging task even for experienced programmers due to the lacking of an integrated tool for developing and testing. In response to this challenge, this paper presents a service platform that supports BDD-style (Behavior-Driven Development) smart contract development, testing, and deployment for the Ethereum-based blockchains. This platform focuses on providing and resolving the cross-cutting concerns across the life-cycle of smart contract development. The feasibility of this platform is shown by demonstrating how an application scenario, namely, loyalty points exchange, can be implemented using the proposed platform. Our experiences indicate that the burdens of developers when developing smart contracts can be effectively reduced and thus increases the quality of contracts. © 2017 IEEE.",2017,,"Proc. - IEEE Int. Conf. Service-Oriented Computing Applications, SOCA",2017-January,,133-140,,10.1109/SOCA.2017.26,,#1939,Liao 2017,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
